;x
uso indevido dos meios_de_comunicação social;164
marco antônio martim vargas juiz;135
o senhor juiz marco antônio;112
antônio martim vargas juiz instrutor;112
a normalidade e a legitimidade;106
senhor juiz marco antônio martim;102
juiz marco antônio martim vargas;102
o senhor ministro alexandre_de_moraes presidente;96
disparos em massa de mensagens;78
ao sistema eletrônico de votação;75
sistema eletrônico de votação e;72
o sistema eletrônico de votação;67
aije nº df relator ministro;66
e uso indevido dos meios_de_comunicação;66
do sistema eletrônico de votação;65
no sentido de que a;60
o uso indevido dos meios_de_comunicação;58
decreto de estado de defesa;58
nos termos do voto do;57
filipe barros baptista de toledo;57
barros baptista de toledo ribeiro;57
o senhor filipe barros baptista;56
senhor filipe barros baptista de;56
baptista de toledo ribeiro testemunha;56
normalidade e a legitimidade das;55
e a legitimidade das eleições;55
e a legitimidade do pleito;54
de veículos ou meios_de_comunicação social;53
do código de processo civil;52
em massa de mensagens de;51
rel min luis_felipe_salomão dje de;51
de decreto de estado de;51
termos do voto do relator;50
de sem destaques no original;50
minuta de decreto de estado;50
a gravidade das circunstâncias que;48
de disparos em massa de;48
a legitimidade e a normalidade;47
dje de sem destaques no;47
normalidade e a legitimidade do;45
do uso indevido dos meios_de_comunicação;45
de abuso do poder_econômico e;45
o senhor ministro luís_roberto_barroso presidente;45
no que diz respeito à;45
alterar o resultado da eleição;43
prática de abuso do poder_econômico;43
o senhor anderson gustavo torres;43
senhor anderson gustavo torres testemunha;43
gravidade das circunstâncias que o;42
das circunstâncias que o caracterizam;42
luiz inácio lula da silva;42
no sentido de que o;41
de uso indevido dos meios_de_comunicação;40
do contraditório e da ampla;38
no art da lc nº;38
a caracterização do abuso de;38
do poder de autoridade ou;37
contraditório e da ampla defesa;36
normalidade e legitimidade das eleições;36
uso indevido desvio ou abuso;36
e a normalidade das eleições;36
poder_econômico e uso indevido dos;36
df relator ministro jorge_mussi dje;36
mas apenas a gravidade das;35
apenas a gravidade das circunstâncias;35
para a caracterização do abuso;35
grau de reprovabilidade da conduta;35
o equilíbrio da disputa eleitoral;35
legitimidade e a normalidade das;35
alto grau de reprovabilidade da;34
de vinte e quatro horas;34
utilização indevida de veículos ou;33
indevida de veículos ou meios_de_comunicação;33
a fim de influenciar o;33
disparo em massa de mensagens;33
voto o senhor ministro alexandre_de_moraes;33
massa de mensagens de whatsapp;33
o doutor marco antônio martim;33
doutor marco antônio martim vargas;33
reprovabilidade da conduta aspecto qualitativo;32
repercussão a fim de influenciar;32
fim de influenciar o equilíbrio;32
de influenciar o equilíbrio da;32
influenciar o equilíbrio da disputa;32
indevido desvio ou abuso do;32
senhor ministro alexandre_de_moraes presidente agradeço;32
frança ministro das relações exteriores;32
nos termos do art da;31
gravidade dos fatos imputados demonstrada;31
dos fatos imputados demonstrada a;31
fatos imputados demonstrada a partir;31
imputados demonstrada a partir da;31
demonstrada a partir da verificação;31
a partir da verificação do;31
partir da verificação do alto;31
da verificação do alto grau;31
verificação do alto grau de;31
do alto grau de reprovabilidade;31
de reprovabilidade da conduta aspecto;31
da conduta aspecto qualitativo e;31
conduta aspecto qualitativo e de;31
aspecto qualitativo e de sua;31
eletrônico de votação e à;31
abuso de poder_político e uso;31
o senhor embaixador carlos alberto;31
senhor embaixador carlos alberto frança;31
embaixador carlos alberto frança ministro;31
carlos alberto frança ministro das;31
alberto frança ministro das relações;31
qualitativo e de sua significativa;30
e de sua significativa repercussão;30
de sua significativa repercussão a;30
sua significativa repercussão a fim;30
significativa repercussão a fim de;30
da disputa eleitoral aspecto quantitativo;30
ou do poder de autoridade;30
do art da lc nº;30
nº df relator ministro jorge_mussi;30
prática de abuso de poder_político;30
de poder_político e uso indevido;30
art a da lei nº;29
potencialidade de o fato alterar;29
de o fato alterar o;29
o fato alterar o resultado;29
min napoleão nunes maia filho;29
a ocorrência do abuso de;29
abuso do poder_econômico e uso;29
do poder_econômico e uso indevido;29
desvio ou abuso do poder_econômico;29
relator ministro jorge_mussi dje de;29
o conteúdo repercutiu perante o;29
conteúdo repercutiu perante o eleitorado;29
de abuso de poder_político e;29
fato alterar o resultado da;28
art b da lei nº;28
equilíbrio da disputa eleitoral aspecto;28
extrato da ata aije nº;28
da ata aije nº df;28
ata aije nº df relator;28
ou abuso do poder_econômico ou;28
abuso do poder_econômico ou do;28
do poder_econômico ou do poder;28
poder_econômico ou do poder de;28
rel min jorge_mussi dje de;28
para que na condição de;28
que na condição de testemunha;28
na condição de testemunha da;28
condição de testemunha da presente;28
de testemunha da presente aije;28
testemunha da presente aije elucide;28
da presente aije elucide questões;28
presente aije elucide questões referentes;28
aije elucide questões referentes à;28
ministro chefe da casa civil;28
o senhor filipe barros deputado;28
senhor filipe barros deputado federal;28
prática de abuso de poder_econômico;27
apurar uso indevido desvio ou;27
poder de autoridade ou utilização;27
de autoridade ou utilização indevida;27
autoridade ou utilização indevida de;27
ou utilização indevida de veículos;27
meios_de_comunicação social em benefício de;27
é como voto o senhor;27
como voto o senhor ministro;27
compõe a causa de pedir;27
da ampla defesa e do;26
contra a influência do poder_econômico;26
abuso do exercício de função;26
do exercício de função cargo;26
exercício de função cargo ou;26
de função cargo ou emprego;26
função cargo ou emprego na;26
cargo ou emprego na administração;26
ou emprego na administração direta;26
a potencialidade de o fato;26
termos do art da lc;26
para apurar uso indevido desvio;26
configuração do abuso de poder;26
ou uso indevido dos meios_de_comunicação;26
que compõe a causa de;26
no twitter representado responsável pelo;26
a prática de abuso de;25
a influência do poder_econômico ou;25
para a ocorrência do abuso;25
na linha do parecer ministerial;25
civil do estado da bahia;25
social em benefício de candidato;25
em benefício de candidato ou;25
benefício de candidato ou de;25
de candidato ou de partido;25
candidato ou de partido político;25
ocorrência do abuso de poder;25
partes causa de pedir e;25
do art b da lei;25
vice_procurador_geral_eleitoral paulo gustavo gonet branco;25
e ou uso indevido dos;25
poder_político e uso indevido dos;25
sobre o sistema eletrônico de;25
decisão o tribunal por unanimidade;24
bens jurídicos tutelados pela norma;24
caracterização do abuso de poder;24
coligação vamos sem medo de;24
vamos sem medo de mudar;24
sem medo de mudar o;24
medo de mudar o brasil;24
veículos ou meios_de_comunicação social em;24
ou meios_de_comunicação social em benefício;24
contratação de empresas especializadas em;24
irregular de cadastro de usuários;24
twitter representado responsável pelo perfil;24
e legitimidade das eleições contra;23
legitimidade das eleições contra a;23
das eleições contra a influência;23
eleições contra a influência do;23
para a configuração do ato;23
a configuração do ato abusivo;23
o resultado da eleição mas;23
conformação do abuso de poder;23
karina rodrigues fidelix da cruz;23
polícia civil do estado da;23
preliminar de cerceamento de defesa;23
rel min edson_fachin dje de;23
compra irregular de cadastro de;23
causa de pedir e pedido;23
de presidente e vice presidente_da_república;23
napoleão nunes maia filho dje;23
nunes maia filho dje de;23
a igualdade de oportunidades entre;23
condição de chefe de estado;23
no twitter responsável pelo perfil;23
antônio martim vargas juiz auxiliar;23
martim vargas juiz auxiliar da;23
vargas juiz auxiliar da presidência;23
juiz auxiliar da presidência do;23
auxiliar da presidência do tse;23
de toledo ribeiro testemunha não;23
veículos ou meios_de_comunicação social a;22
eugênio josé guilherme de aragão;22
é como voto voto o;22
como voto voto o senhor;22
rel min gilmar mendes dje;22
min gilmar mendes dje de;22
art do código de processo;22
empresas especializadas em marketing digital;22
igualdade de oportunidades entre candidatos;22
postulado constitucional da não culpabilidade;22
a preliminar de ilegitimidade passiva;22
ministro alexandre_de_moraes presidente agradeço ao;22
assembleia geral das nações unidas;22
do ex ministro da justiça;22
ex ministro da justiça e;22
o interesse público de lisura;21
interesse público de lisura eleitoral;21
cassação do registro ou diploma;21
karina de paula kufa oab;21
de paula kufa oab sp;21
o caráter indisponível dos interesses;21
para o deslinde da controvérsia;21
a ocorrência de abuso de;21
voto voto o senhor ministro;21
a mensuração dos reflexos eleitorais;21
mensuração dos reflexos eleitorais da;21
dos reflexos eleitorais da conduta;21
deva continuar a ser ponderada;21
continuar a ser ponderada pelo;21
a ser ponderada pelo julgador;21
ser ponderada pelo julgador não;21
fator determinante para a ocorrência;21
determinante para a ocorrência do;21
aije nº df rel min;21
voto o senhor ministro luís_roberto_barroso;21
de perfis falsos para propaganda_eleitoral;21
rel min henrique neves da;21
que compõem a causa de;21
compõem a causa de pedir;21
visando promover disparos em massa;21
alcance do ilícito em termos;21
do ilícito em termos de;21
o senhor ministro benedito gonçalves;21
sob pena de multa de;21
pena de multa de r;21
preliminar de incompetência da justiça_eleitoral;21
que não indicados ou alegados;20
que preservem o interesse público;20
preservem o interesse público de;20
emprego na administração direta ou;20
na administração direta ou indireta;20
configuração do ato abusivo não;20
do ato abusivo não será;20
ato abusivo não será considerada;20
abusivo não será considerada a;20
não será considerada a potencialidade;20
será considerada a potencialidade de;20
considerada a potencialidade de o;20
do voto do relator composição;20
a macular a legitimidade e;20
de cassação do mandato e;20
dr humberto jacques de medeiros;20
captação ilícita de sufrágio art;20
ilícita de sufrágio art a;20
substancialmente pelo desvalor do comportamento;20
ampla defesa e do contraditório;20
de base de dados de;20
indevida de perfis falsos para;20
min henrique neves da silva;20
a senhora rebeca félix da;20
senhora rebeca félix da silva;20
rebeca félix da silva ribeiro;20
félix da silva ribeiro alves;20
da silva ribeiro alves testemunha;20
a legitimidade das eleições e;20
indevido dos meios_de_comunicação social nos;20
dos meios_de_comunicação social nos termos;20
meios_de_comunicação social nos termos do;20
social nos termos do art;20
cep para que na condição;20
elucide questões referentes à sua;20
questões referentes à sua relação;20
referentes à sua relação com;20
à sua relação com os;20
sua relação com os investigados;20
se no conceito de veículos;20
no conceito de veículos ou;20
conceito de veículos ou meios_de_comunicação;20
ou meios_de_comunicação social a que;20
meios_de_comunicação social a que alude;20
social a que alude o;20
a que alude o art;20
que alude o art da;20
do estado democrático de direito;20
paulo gustavo gonet branco sessão;20
senhor ministro benedito gonçalves relator;20
dano ou da existência de;20
ou da existência de culpa;20
da existência de culpa ou;20
existência de culpa ou dolo;20
sob pena de multa diária;20
pena de multa diária de;20
em manifesto desvio de finalidade;20
desdobramentos dos fatos originariamente narrados;20
por ocasião das eleições de;20
martim vargas juiz instrutor tá;20
a causa de pedir e;19
circunstâncias ou fatos ainda que;19
ou fatos ainda que não;19
fatos ainda que não indicados;19
ainda que não indicados ou;19
não indicados ou alegados pelas;19
indicados ou alegados pelas partes;19
ou alegados pelas partes mas;19
alegados pelas partes mas que;19
pelas partes mas que preservem;19
partes mas que preservem o;19
mas que preservem o interesse;19
maria thereza de assis moura;19
resultado da eleição mas apenas;19
da eleição mas apenas a;19
eleição mas apenas a gravidade;19
de aragão oab df e;19
aragão oab df e outros;19
caráter indisponível dos interesses envolvidos;19
caracterização do abuso de poder_econômico;19
abuso de poder apto à;19
de poder apto à incidência;19
